Region,Local Authority (LA),LA No.,Institution Name,Category,UKPRN,UPIN,Total Students,High Needs Students (included in Total Students),Total Programme Funding (£),Disadvantage Funding (£) (included in Total Programme Funding),Total No. students not meeting the Condition of Funding (2017/18 data),Actual Condition of Funding adjustment in 2019/20 (£) (after mitigation),High Needs Element 2 Funding (£),Total Student Financial Support Funding (£),Discretionary Bursary Funding (£) (included in Total Student Financial Support Funding),Free Meals Funding (£) (included in Total Student Financial Support Funding),Industry Placements: Capacity and Delivery Funding (£),Advanced Maths Premium Funding (£),Alternative Completions Funding (£),Total Funding Allocation (£)
WM,Birmingham,330,Archbishop Ilsley Catholic School,Academy,10082960,141168,121,0,"550,920","63,941",0,0,0,"19,302","19,302",0,0,0,0,"570,222"
YH,Kingston upon Hull City of,810,Archbishop Sentamu Academy,Academy,10024212,119095,137,6,"774,845","150,737",1,0,"36,000","16,330","16,330",0,0,0,0,"827,176"
GL,Croydon,306,Archbishop Tenison's CofE High School,School Sixth Form,10000344,113030,136,0,"636,924","30,857",0,0,0,"9,022","9,022",0,0,0,0,"645,945"
SW,Gloucestershire,916,Archway School,School Sixth Form,10000349,113736,156,0,"632,657","8,552",0,0,0,"15,290","15,290",0,0,"12,000",0,"659,947"
WM,Solihull,334,Arden,Academy,10031562,119276,303,0,"1,214,106","6,000",0,0,0,"10,853","10,853",0,0,0,0,"1,224,959"
GL,Haringey,309,Area 51 Education Ltd,Special Post-16 Institution,10024163,123034,35,35,"220,996","39,112",0,0,"210,000","14,205","3,370","10,835",0,0,0,"445,201"
GL,Brent,304,Ark Academy,Academy,10024211,118659,224,0,"1,059,319","70,031",7,0,0,"24,031","24,031",0,0,"7,200",0,"1,090,550"
GL,Ealing,307,Ark Acton Academy,Academy,10080890,141121,105,1,"515,163","48,597",0,0,"6,000","11,264","11,264",0,0,0,0,"532,427"
GL,Wandsworth,212,Ark Bolingbroke Academy,Free School,10038719,122013,128,2,"624,045","11,975",0,0,"12,000","13,732","13,732",0,0,"9,600",0,"659,377"
GL,Hammersmith and Fulham,205,Ark Burlington Danes Academy,Academy,10015175,118604,190,0,"949,799","83,853",29,"-28,638",0,"41,123","41,123",0,0,0,0,"962,284"
GL,Southwark,210,ARK Globe Academy,Academy,10024133,118614,119,0,"592,051","42,013",3,0,0,"12,766","12,766",0,0,0,0,"604,817"
GL,Redbridge,317,Ark Isaac Newton Academy,Academy,10038460,120917,207,0,"948,103","18,520",0,0,0,"22,207","22,207",0,0,"31,800",0,"1,002,109"
GL,Enfield,308,Ark John Keats Academy,Free School,10042318,123290,100,0,"482,183","32,248",0,0,0,"10,728","10,728",0,0,0,0,"492,911"
GL,Westminster,213,Ark King Solomon Academy,Academy,10021088,118623,120,0,"631,362","63,261",0,0,0,"12,874","12,874",0,0,"4,800",0,"649,036"
GL,Wandsworth,212,ARK Putney Academy,Academy,10038701,122388,118,3,"554,065","25,267",3,0,"18,000","16,017","16,017",0,0,"3,000",0,"591,082"
WM,Birmingham,330,Ark St Alban's Academy,Academy,10027856,119134,159,0,"738,450","121,105",1,0,0,"17,058","17,058",0,0,"2,400",0,"757,908"
GL,Southwark,210,Ark Walworth Academy,Academy,10021094,119116,118,0,"594,197","51,438",11,"-9,923",0,"20,395","20,395",0,0,0,0,"604,669"
SE,East Sussex,845,ARK William Parker Academy,Academy,10042410,124511,105,0,"404,281","23,867",7,"-1,780",0,"10,429","10,429",0,0,0,0,"412,930"
EM,Nottinghamshire,891,Arnold Hill Academy,Academy,10081517,141496,241,0,"976,338","25,375",1,0,0,"19,190","19,190",0,0,0,0,"995,528"
WM,Worcestershire,885,Arrow Vale RSA Academy,Academy,10038446,122314,127,0,"558,427","40,040",0,0,0,"16,788","16,788",0,0,0,0,"575,215"
EE,Peterborough,874,Arthur Mellows Village College,Academy,10031362,119274,307,1,"1,271,506","13,278",2,0,"6,000","19,541","19,541",0,"2,500","2,400",0,"1,301,947"
EM,Leicester,856,Ash Field Academy,Academy Special,10037053,121036,26,26,0,0,0,0,"260,000","2,789","2,789",0,0,0,0,"262,789"
WM,Warwickshire,937,Ash Green School,Academy,10036161,120803,104,0,"413,144","12,407",0,0,0,"11,157","11,157",0,0,"11,400",0,"435,702"
YH,Doncaster,371,Ash Hill Academy,Academy,10035003,120458,28,0,"139,865","27,184",0,0,0,"3,968","3,968",0,0,0,0,"143,833"
EM,Leicestershire,855,Ashby School,Academy,10038679,122080,600,1,"2,414,751","17,945",0,0,"6,000","35,224","35,224",0,0,0,0,"2,455,975"
GL,Wandsworth,212,Ashcroft Technology Academy,Academy,10021078,118598,249,1,"1,267,230","32,487",0,0,"6,000","33,977","33,977",0,0,"18,600",0,"1,325,807"
EM,Nottinghamshire,891,Ashfield Comprehensive School,Academy,10036962,121097,541,0,"2,264,508","150,003",41,"-23,733",0,"62,859","62,859",0,0,0,0,"2,303,634"
EM,Derbyshire,830,Ashgate Croft School,Academy Special,10083493,151876,29,29,0,0,0,0,"290,000","3,111","3,111",0,0,0,0,"293,111"
NE,Northumberland,929,Ashington Academy,Academy,10064774,138362,111,0,"456,011","30,031",0,0,0,"14,495","14,495",0,0,0,0,"470,506"
WM,Warwickshire,937,Ashlawn School,Academy,10033253,119553,417,2,"1,706,966","25,224",0,0,"12,000","26,034","26,034",0,0,"21,600",0,"1,766,600"
EE,Hertfordshire,919,Ashlyns School,School Sixth Form,10000405,113902,230,0,"968,178","6,000",0,0,0,"11,309","11,309",0,0,0,0,"979,487"
GL,Barnet,302,Ashmole Academy,Academy,10031563,119277,324,0,"1,471,844","27,054",0,0,0,"18,702","18,702",0,0,0,0,"1,490,546"
SW,Bristol City of,801,Ashton Park School,Academy,10066296,132930,222,10,"965,798","117,124",1,0,"60,000","25,113","25,113",0,0,0,0,"1,050,911"
NW,Tameside,357,Ashton Sixth Form College,Academy,10082366,151676,"2,121",3,"9,120,151","846,630",7,0,"18,000","354,884","264,741","90,143","65,750","19,800",0,"9,578,584"
NW,Trafford,358,Ashton-on-Mersey School,Academy,10037238,122001,137,0,"535,053","27,407",4,0,0,"9,578","9,578",0,0,0,0,"544,631"
YH,York,816,Askham Bryan College,Agricultural & Horticultural College,10000415,105948,"2,102",165,"12,895,723","1,203,067",27,0,"990,000","801,905","441,730","35,247","396,000",0,0,"15,083,628"
SE,West Sussex,938,Asphaleia Ltd,Independent Learning Provider,10019293,118233,158,0,"401,676","107,013",6,"-1,476",0,"17,101","17,101",0,0,0,0,"417,301"
SE,Buckinghamshire,825,Aspire,Academy AP,10061807,134624,14,0,"68,896","14,204",0,0,0,"1,502","1,502",0,0,0,0,"70,398"
SW,"Bournemouth, Christchurch and Poole",839,Aspire Training Team Ltd,Independent Learning Provider,10006942,109194,40,0,"109,487","10,311",4,"-1,273",0,"4,299","4,299",0,0,0,0,"112,513"
YH,Bradford,380,Aspire-Igen Group Ltd,Independent Learning Provider,10001182,115463,"1,267",85,"4,812,795","1,243,672",38,0,"510,000","388,943","244,569","144,374","53,000",0,0,"5,764,738"
NE,Northumberland,929,Astley Community High School,School Sixth Form,10000438,113215,138,0,"602,234","33,628",1,0,0,"15,212","15,212",0,0,0,0,"617,446"
YH,Rotherham,372,Aston Academy,Academy,10033573,119718,227,0,"908,134","29,040",1,0,0,"20,213","20,213",0,0,0,0,"928,346"
WM,Birmingham,330,Aston Manor Academy,Academy,10034151,119882,210,0,"1,050,314","214,538",0,0,0,"22,529","22,529",0,0,"4,200",0,"1,077,043"
WM,Birmingham,330,Aston University Engineering Academy,University Technical College,10037492,122150,345,0,"1,837,414","236,977",5,0,0,"42,828","42,828",0,"57,750","27,000",0,"1,964,992"
SE,Kent,886,Astor College (A Specialist College for the Arts),Academy,10037500,122113,129,0,"558,319","69,220",0,0,0,"18,100","18,100",0,"2,500",600,0,"579,519"
YH,Doncaster,371,Astrea Academy Woodfields,Academy,10081059,141381,74,2,"300,231","27,161",1,0,"12,000","11,937","11,937",0,0,0,0,"324,167"
SW,Devon,878,Atrium Studio School,Studio School,10053997,132676,24,0,"107,069","6,000",0,0,0,"2,575","2,575",0,0,"1,200",0,"110,844"
EE,Norfolk,926,Attleborough Academy Norfolk,Academy,10044478,127652,133,0,"523,282","19,407",0,0,0,"12,683","12,683",0,0,0,0,"535,965"
SW,Dorset,838,Aurora FE Ltd,Special Post-16 Institution,10067746,141284,23,23,"121,022","25,702",0,0,"138,000","3,664","2,467","1,197",0,600,0,"263,286"
GL,Harrow,310,Avanti House School,Free School,10038152,123026,93,0,"423,404","6,039",0,0,0,"9,977","9,977",0,0,"17,400",0,"450,781"
SW,Wiltshire,865,Avon Valley College,Academy,10057185,111453,24,0,"102,369","6,000",4,"-6,735",0,"2,384","2,384",0,0,0,0,"98,018"
SW,"Bournemouth, Christchurch and Poole",839,Avonbourne College,Academy,10037404,121944,143,0,"585,903","48,126",1,0,0,"15,341","15,341",0,0,"4,800",0,"606,044"
SE,Buckinghamshire,825,Aylesbury Grammar School,Academy,10033392,119884,388,1,"1,701,730","6,295",0,0,"6,000","14,730","14,730",0,0,"18,000",0,"1,740,460"
SE,Buckinghamshire,825,Aylesbury High School,Academy,10033697,119846,386,0,"1,653,070","6,098",0,0,0,"16,138","16,138",0,0,"13,800",0,"1,683,009"
SE,Kent,886,Aylesford School - Sports College,School Sixth Form,10000478,114439,60,0,"255,794","20,985",3,-300,0,"6,170","6,170",0,0,"4,200",0,"265,864"
WM,Warwickshire,937,Aylesford School and Sixth Form College,Academy,10035998,120810,88,0,"345,977","6,000",1,0,0,"6,210","6,210",0,0,0,0,"352,187"
GL,Enfield,308,Aylward Academy,Academy,10030654,119211,209,0,"1,028,964","142,829",1,0,0,"33,364","33,364",0,0,0,0,"1,062,329"
NE,Northumberland,929,Azure Charitable Enterprises,Independent Learning Provider,10005781,115824,10,15,"60,238","11,272",1,"-1,435","90,000","2,110","1,481",629,0,0,0,"150,914"
SW,North Somerset,802,Backwell School,Academy,10033577,119719,367,0,"1,458,621","11,384",1,0,0,"18,045","18,045",0,0,0,0,"1,476,666"
GL,Southwark,210,Bacon’s College,Academy,10066249,140061,145,0,"745,484","52,254",1,0,0,"19,332","19,332",0,0,0,0,"764,816"
NW,Lancashire,888,Bacup and Rawtenstall Grammar School,Academy,10039025,122800,381,0,"1,613,310","42,862",0,0,0,"26,761","26,761",0,0,0,0,"1,640,071"
SW,Gloucestershire,916,Balcarras School,Academy,10032991,119474,369,0,"1,480,878","12,528",0,0,0,"14,823","14,823",0,0,0,0,"1,495,701"
NE,Sunderland,394,Barbara Priestman Academy,Academy Special,10038145,122338,59,59,0,0,0,0,"590,000","6,330","6,330",0,0,0,0,"596,330"
EE,Hertfordshire,919,Barclay Academy,Academy,10064777,139514,111,0,"453,020","14,879",1,0,0,"10,109","10,109",0,0,0,0,"463,128"
SE,Oxfordshire,931,Bardwell School,Academy Special,10083497,141517,10,10,0,0,0,0,"100,000","1,073","1,073",0,0,0,0,"101,073"
GL,Barking and Dagenham,301,"Barking Abbey School, A Specialist Sports and Humanities College",School Sixth Form,10000527,114137,579,0,"2,678,281","151,974",6,0,0,"77,799","77,799",0,0,0,0,"2,756,080"
GL,Barking and Dagenham,301,Barking and Dagenham College,General FE and Tertiary,10000528,106542,"2,891",235,"15,120,801","2,592,286",135,0,"1,410,000","476,317","377,979","98,338","281,750",0,0,"17,288,868"
NE,North Tyneside,392,Barnardo's,Independent Learning Provider,10000532,106160,251,0,"786,843","180,388",30,"-24,939",0,"74,442","66,923","7,519",0,0,0,"836,345"
GL,Barnet,302,Barnet and Southgate College,General FE and Tertiary,10000533,108532,"3,008",252,"14,913,803","2,198,984",202,"-78,882","1,512,000","516,142","426,114","90,028","193,750",0,0,"17,056,813"
GL,Hillingdon,312,Barnhill Community High School,Academy,10034571,120071,253,3,"1,218,455","87,334",0,0,"18,000","34,176","34,176",0,0,"13,200",0,"1,283,832"
YH,Barnsley,370,Barnsley College,General FE and Tertiary,10000536,107013,"4,850",364,"22,315,195","3,096,372",161,0,"2,184,000","987,472","762,249","225,223","417,250","49,800",0,"25,953,717"
EE,Hertfordshire,919,Barnwell School,School Sixth Form,10000540,113903,135,0,"565,128","12,664",0,0,0,"10,894","10,894",0,0,0,0,"576,022"
WM,Walsall,335,Barr Beacon School,Academy,10034154,119885,210,0,"857,312","26,014",0,0,0,"16,884","16,884",0,0,0,0,"874,196"
WM,Herefordshire,884,Barrs Court School,Academy Special,10041351,122903,45,45,0,0,0,0,"450,000","4,828","4,828",0,0,0,0,"454,828"
WM,Coventry,331,Barr's Hill School and Community College,Academy,10054167,132400,46,0,"213,398","27,633",1,0,0,"8,051","8,051",0,0,0,0,"221,448"
SE,Oxfordshire,931,Bartholomew School,Academy,10036543,120914,247,0,"1,054,741","6,000",1,0,0,"10,459","10,459",0,0,"31,800",0,"1,097,000"
SE,Kent,886,Barton Court Grammar School,Academy,10035093,120444,233,0,"926,052","10,985",1,0,0,"16,407","16,407",0,0,"19,200",0,"961,660"
SE,Hampshire,850,Barton Peveril College,Sixth Form College,10000552,108437,"3,464",20,"14,007,695","321,098",9,0,"120,000","268,699","221,429","47,270","71,750","57,600",0,"14,525,743"
SE,Hampshire,850,Basingstoke College of Technology,General FE and Tertiary,10000560,106596,"1,272",39,"5,490,129","553,274",56,0,"234,000","166,287","133,886","32,401","227,500","9,600",0,"6,127,516"
SW,Bath and North East Somerset,800,Bath College,General FE and Tertiary,10001465,105154,"1,989",143,"8,568,640","836,251",56,0,"858,000","267,832","225,794","42,038","187,750",0,0,"9,882,222"
YH,Kirklees,382,Batley Girls High School,Academy,10035145,120432,206,0,"902,251","103,867",1,0,0,"47,490","47,490",0,0,0,0,"949,740"
WM,Worcestershire,885,Baxter College,Academy,10062705,138407,93,0,"429,783","42,003",7,"-10,700",0,"13,053","13,053",0,0,0,0,"432,136"
SE,Hampshire,850,Bay House School,Academy,10035997,120781,418,0,"1,707,502","20,871",7,0,0,"22,110","22,110",0,0,0,0,"1,729,612"
NW,Lancashire,888,Bay Leadership Academy,Academy,10066062,134147,127,0,"532,998","77,573",2,0,0,"19,305","19,305",0,0,0,0,"552,303"
SE,Slough,871,Baylis Court School,Academy,10034586,120259,104,0,"474,832","11,690",2,0,0,"17,854","17,854",0,0,0,0,"492,686"
WM,Sandwell,333,BCTG Limited,Independent Learning Provider,10006600,111994,709,0,"1,345,703","187,922",13,0,0,"76,108","74,776","1,332",0,0,0,"1,421,810"
SE,East Sussex,845,Beacon Academy,Academy,10036860,113087,225,0,"904,908","6,000",0,0,0,"17,064","17,064",0,0,"13,800",0,"935,772"
GL,Redbridge,317,Beacon Business Innovation Hub,Free School,10047214,130483,23,8,"112,924","16,345",15,"-25,482","48,000","2,467","2,467",0,0,0,0,"137,909"
EE,Thurrock,883,Beacon Hill Academy,Academy Special,10038611,121872,25,25,0,0,0,0,"250,000","2,682","2,682",0,0,0,0,"252,682"
SE,Buckinghamshire,825,Beaconsfield High School,Academy,10046208,127317,279,0,"1,232,804","6,000",0,0,0,"7,250","7,250",0,0,"16,200",0,"1,256,254"
GL,Redbridge,317,Beal High School,Academy,10044822,129576,773,11,"3,545,581","92,184",1,0,"66,000","72,331","72,331",0,0,"3,600",0,"3,687,512"
SW,Dorset,838,Beaminster School,School Sixth Form,10000594,114623,85,0,"331,045","7,984",0,0,0,"7,450","7,450",0,0,0,0,"338,495"
EM,Leicestershire,855,Beauchamp College,Academy,10041282,113692,892,1,"3,657,345","76,115",0,0,"6,000","77,858","77,858",0,0,0,0,"3,741,203"
EE,Essex,881,Beauchamps High School,School Sixth Form,10000597,114031,141,0,"605,036","8,788",0,0,0,"10,790","10,790",0,0,0,0,"615,827"
NW,Lancashire,888,Beaumont College - A Scope College,Special Post-16 Institution,10000599,114843,112,112,"589,323","125,158",0,0,"672,000","24,037","9,836","14,201",0,0,0,"1,285,360"
NE,Darlington,841,Beaumont Hill Academy,Academy Special,10037054,120531,26,26,0,0,0,0,"260,000","2,789","2,789",0,0,0,0,"262,789"
EE,Hertfordshire,919,Beaumont School,Academy,10037626,122174,371,0,"1,629,160","6,000",1,0,0,"13,090","13,090",0,0,"1,200",0,"1,643,450"
EE,Essex,881,Becket Keys Church of England Free School,Free School,10037579,121966,163,0,"681,550","6,000",0,0,0,"17,487","17,487",0,0,0,0,"699,036"
YH,Bradford,380,Beckfoot Oakbank,Academy,10057569,134507,179,0,"794,407","85,018",0,0,0,"22,948","22,948",0,0,0,0,"817,355"
YH,Bradford,380,Beckfoot School,Academy,10042613,121064,288,0,"1,194,806","42,405",0,0,0,"39,204","39,204",0,0,"13,200",0,"1,247,210"
YH,Bradford,380,Beckfoot Thornton ,Academy,10057510,134513,142,0,"638,791","48,965",0,0,0,"20,075","20,075",0,0,0,0,"658,866"
GL,Croydon,306,Beckmead School,Academy Special,10083027,140494,74,74,0,0,0,0,"740,000","7,939","7,939",0,0,0,0,"747,939"
NE,Northumberland,929,Bede Academy,Academy,10027529,118883,157,4,"693,286","46,296",0,0,"24,000","16,843","16,843",0,0,0,0,"734,128"
GL,Kingston upon Thames,314,Bedelsford School,Academy Special,10056073,133590,18,18,0,0,0,0,"180,000","1,931","1,931",0,0,0,0,"181,931"
EE,Bedford,822,Bedford Academy,Academy,10029936,119151,134,0,"632,726","65,256",0,0,0,"20,114","20,114",0,0,"6,000",0,"658,839"
EE,Bedford,822,Bedford College,General FE and Tertiary,10000610,106319,"5,549",164,"26,248,857","2,839,990",130,0,"984,000","831,241","606,357","138,471","653,500",0,0,"28,717,598"
EE,Central Bedfordshire,823,Bedfordshire & Luton Education Business Partnership,Independent Learning Provider,10000612,106323,392,73,"1,658,813","271,284",4,0,"438,000","109,964","97,220","12,744",0,0,0,"2,206,776"
NE,Northumberland,929,Bedlington Academy,Academy,10065109,138363,60,5,"244,388","12,455",0,0,"30,000","5,959","5,959",0,0,"5,400",0,"285,748"
SW,Bath and North East Somerset,800,Beechen Cliff,Academy,10082545,151758,392,1,"1,569,774","15,917",7,0,"6,000","24,274","24,274",0,0,"30,600","20,000","1,650,648"
SE,Slough,871,BEECHWOOD SCHOOL,Academy,10057645,134320,99,0,"481,186","32,085",0,0,0,"15,674","15,674",0,0,"3,000",0,"499,861"
EE,Southend-on-Sea,882,Belfairs Academy,Academy,10037421,120834,152,0,"623,660","14,786",1,0,0,"17,552","17,552",0,0,0,0,"641,213"
YH,Bradford,380,Belle Vue Girls' Academy,Academy,10037038,120720,242,2,"1,170,934","192,080",0,0,"12,000","63,484","63,484",0,0,0,0,"1,246,417"
NW,Liverpool,341,Bellerive FCJ Catholic College,Academy,10037107,122087,138,0,"620,567","76,312",0,0,0,"26,833","26,833",0,0,"1,200",0,"648,600"
EM,Derbyshire,830,Belper School and Sixth Form Centre,School Sixth Form,10000632,114166,153,0,"603,349","6,040",0,0,0,"10,172","10,172",0,0,0,0,"613,521"
SE,Kent,886,Bemix (Formerly known as Skillnet),Special Post-16 Institution,10028500,138996,22,22,"116,720","25,545",0,0,"132,000","3,290","2,360",930,0,0,0,"252,010"
EM,Derby,831,Bemrose School,School Sixth Form,10015007,118307,47,0,"230,735","47,487",21,"-36,923",0,"10,161","10,161",0,0,0,0,"203,973"
NE,Newcastle upon Tyne,391,Benfield School,Academy,10063847,133733,46,0,"213,577","30,077",0,0,0,"8,483","8,483",0,0,0,0,"222,059"
SE,Kent,886,Bennett Memorial Diocesan School,Academy,10033233,119633,362,0,"1,458,021","15,312",0,0,0,"18,265","18,265",0,"12,000",600,0,"1,488,886"
GL,Harrow,310,Bentley Wood High School,Academy,10034650,120178,150,0,"686,785","18,489",0,0,0,"13,978","13,978",0,0,0,0,"700,763"
YH,Leeds,383,Benton Park School,School Sixth Form,10000649,114523,257,0,"1,082,483","52,553",6,0,0,"15,493","15,493",0,0,0,0,"1,097,976"
SE,Windsor and Maidenhead,868,Berkshire College of Agriculture,Agricultural & Horticultural College,10000654,105023,"1,402",200,"8,249,200","576,953",3,0,"1,200,000","254,272","187,760","45,352","207,000",0,0,"9,910,472"
NE,Northumberland,929,Berwick Academy,Academy,10035676,120647,89,5,"358,025","8,972",8,"-6,035","30,000","10,609","10,609",0,0,0,0,"392,598"
GL,Bexley,303,Beths Grammar School,Academy,10031564,119278,539,1,"2,469,861","60,077",0,0,"6,000","30,888","30,888",0,0,"37,800",0,"2,544,548"
YH,East Riding of Yorkshire,811,Beverley Grammar School,Academy,10034618,119995,133,0,"533,401","8,978",0,0,0,"10,634","10,634",0,0,0,0,"544,035"
YH,East Riding of Yorkshire,811,Beverley High School,School Sixth Form,10000667,114174,123,0,"494,086","6,000",0,0,0,"9,589","9,589",0,0,"13,200",0,"516,875"
SE,East Sussex,845,Bexhill College,Sixth Form College,10000670,108435,"1,984",9,"8,421,853","757,902",15,0,"54,000","270,965","228,930","42,035","121,000",0,0,"8,867,817"
GL,Bexley,303,Bexley Grammar School,Academy,10032339,119389,395,1,"1,968,876","25,139",0,0,"6,000","24,507","24,507",0,0,"4,800",0,"2,004,184"
GL,Bexley,303,Bexley London Borough Council,Local Authority,10000146,108155,166,0,"233,906","30,102",6,-769,0,"25,807","25,807",0,0,0,0,"258,944"
GL,Bexley,303,Bexley Youth Training Group,Independent Learning Provider,10000673,108680,188,0,"738,060","148,293",5,0,0,"53,044","24,080","28,964",0,0,0,"791,104"
GL,Bexley,303,Bexleyheath Academy,Academy,10034964,120138,212,0,"1,063,775","76,889",14,"-4,888",0,"15,118","15,118",0,0,0,0,"1,074,005"
SE,Oxfordshire,931,Bicester Technology Studio,University Technical College,10057003,132779,35,0,"160,824","6,491",5,"-5,635",0,"3,755","3,755",0,0,0,0,"158,944"
EE,Bedford,822,Biddenham Upper School and Sports College,School Sixth Form,10000684,113851,215,0,"982,319","93,598",0,0,0,"29,049","29,049",0,0,0,0,"1,011,368"
WM,Staffordshire,860,Biddulph High School,Academy,10035123,120427,184,1,"806,561","46,704",0,0,"6,000","21,829","21,829",0,0,0,0,"834,389"
SW,Devon,878,Bideford College,Academy,10055163,132391,142,4,"582,332","25,602",0,0,"24,000","17,519","17,519",0,0,"4,800",0,"628,651"
GL,Waltham Forest,320,Big Creative Academy,Free School,10046350,130496,252,5,"1,401,571","180,149",0,0,"30,000","38,596","20,276","18,320",0,0,0,"1,470,167"
GL,Waltham Forest,320,Big Creative Training Ltd,Independent Learning Provider,10002073,110017,386,23,"1,819,424","280,006",19,"-2,237","138,000","85,655","65,935","19,720","30,250",0,0,"2,071,092"
EM,Nottingham,892,Bilborough College,Sixth Form College,10000695,108326,"1,748",0,"7,173,772","362,428",50,0,0,"216,463","150,652","65,811",0,0,0,"7,390,235"
EM,Northamptonshire,928,Billing Brook Special School,Academy Special,10044265,125231,40,40,0,0,0,0,"400,000","4,291","4,291",0,0,0,0,"404,291"
WM,Warwickshire,937,Bilton School,Academy,10066891,140675,91,0,"352,385","7,015",1,0,0,"9,762","9,762",0,0,0,0,"362,148"
YH,Bradford,380,Bingley Grammar School,School Sixth Form,10000697,114524,330,0,"1,352,082","48,161",0,0,0,"24,585","24,585",0,0,"46,200",0,"1,422,867"
NW,Warrington,877,Birchwood Community High School,Academy,10042219,124126,154,4,"691,111","53,909",0,0,"24,000","16,521","16,521",0,0,600,0,"732,232"
EE,Hertfordshire,919,Birchwood High School,Academy,10035666,120632,223,0,"971,156","14,521",0,0,0,"13,464","13,464",0,0,"5,400",0,"990,020"
NW,Wirral,344,Birkenhead High School Academy,Academy,10027544,118888,147,0,"629,125","34,694",0,0,0,"6,856","6,856",0,0,0,0,"635,981"
NW,Wirral,344,Birkenhead Sixth Form College,Academy,10064686,139236,"1,384",57,"5,925,740","536,160",2,0,"342,000","282,183","168,539","113,644","33,500","1,800",0,"6,585,222"
WM,Birmingham,330,Birmingham City Council,Local Authority,10000703,108141,59,0,"216,675","60,631",14,"-15,495",0,"4,257",500,"3,757",0,0,0,"205,437"
WM,Birmingham,330,Birmingham Metropolitan College,General FE and Tertiary,10006442,106368,"4,883",78,"22,819,833","4,266,768",138,0,"468,000","942,627","688,316","254,311","355,250",0,0,"24,585,710"
WM,Birmingham,330,Birmingham Ormiston Academy,Academy,10034933,119944,694,0,"3,394,501","163,979",39,"-11,775",0,"74,452","74,452",0,0,0,0,"3,457,179"
NW,Bolton,350,Birtenshaw,Non-Maintained Special School,10015031,122211,11,11,0,0,0,0,"110,000","1,140","1,140",0,0,0,0,"111,140"
NW,Bolton,350,Birtenshaw College,Special Post-16 Institution,10055479,134022,41,41,"215,734","45,817",0,0,"246,000","4,398","4,398",0,0,0,0,"466,133"
NE,Durham,840,Bishop Auckland College,General FE and Tertiary,10000720,108530,618,45,"3,036,661","633,626",17,0,"270,000","153,332","98,831","54,501","59,000",0,0,"3,518,993"
YH,East Riding of Yorkshire,811,Bishop Burton College,Agricultural & Horticultural College,10000721,105582,"1,650",25,"10,035,031","1,048,221",5,0,"150,000","553,137","188,085","52,700","283,750",0,"32,500","11,054,418"
WM,Birmingham,330,Bishop Challoner Catholic College,School Sixth Form,10000722,114715,230,0,"933,092","49,296",0,0,0,"25,627","25,627",0,0,0,0,"958,720"
GL,Tower Hamlets,211,Bishop Challoner Catholic Collegiate Girls School,School Sixth Form,10010917,119316,219,0,"1,141,366","97,563",1,0,0,"39,053","39,053",0,0,0,0,"1,180,418"
GL,Barnet,302,Bishop Douglass School Finchley,Academy,10057424,133737,169,0,"811,064","70,347",5,0,0,"25,181","25,181",0,0,0,0,"836,245"
NW,Cheshire West and Chester,896,Bishop Heber High School,School Sixth Form,10000726,114600,248,0,"983,483","6,000",4,0,0,"15,616","15,616",0,0,"3,000",0,"1,002,099"
GL,Bromley,305,Bishop Justus CofE School,Academy,10032982,119466,212,8,"986,648","34,462",0,0,"48,000","19,856","19,856",0,0,"3,600",0,"1,058,104"
SE,West Sussex,938,"Bishop Luffa School, Chichester",Academy,10044267,127604,272,0,"1,083,164","6,000",1,0,0,"9,467","9,467",0,0,0,0,"1,092,631"
WM,Dudley,332,Bishop Milner Catholic College,Academy,10043055,124380,147,0,"649,108","61,036",0,0,0,"16,427","16,427",0,0,0,0,"665,535"
GL,Hillingdon,312,Bishop Ramsey Church of England School,Academy,10035053,120457,296,0,"1,323,934","16,122",0,0,0,"14,801","14,801",0,0,0,0,"1,338,735"
EM,Northamptonshire,928,Bishop Stopford School,Academy,10034653,120086,402,6,"1,605,967","15,702",0,0,"36,000","15,957","15,957",0,0,0,0,"1,657,924"
GL,Enfield,308,Bishop Stopford's School,School Sixth Form,10000731,113270,84,0,"397,444","43,552",15,"-18,775",0,"8,160","8,160",0,0,0,0,"386,830"
GL,Lambeth,208,Bishop Thomas Grant Catholic Secondary School,School Sixth Form,10014777,118507,303,0,"1,541,701","83,970",7,0,0,"38,844","38,844",0,0,0,0,"1,580,546"
WM,Coventry,331,Bishop Ullathorne Catholic School,Academy,10084122,162145,113,0,"479,623","31,330",0,0,0,"9,701","9,701",0,0,"7,200",0,"496,525"
WM,Birmingham,330,Bishop Vesey's Grammar School,Academy,10036861,120745,398,0,"1,627,431","48,279",0,0,0,"19,973","19,973",0,0,0,0,"1,647,404"
WM,Birmingham,330,Bishop Walsh Catholic School,Academy,10044481,123911,214,0,"849,542","38,179",7,0,0,"13,705","13,705",0,0,0,0,"863,247"
SW,Wiltshire,865,Bishop Wordsworth's Grammar School,Academy,10033023,119500,258,0,"1,052,499","6,000",1,0,0,"6,012","6,012",0,0,"12,000",0,"1,070,512"
EE,Hertfordshire,919,Bishop's Hatfield Girls' School,Academy,10035970,120821,148,0,"648,378","6,391",0,0,0,"8,821","8,821",0,0,0,0,"657,198"
GL,Hillingdon,312,Bishopshalt School,Academy,10035679,120519,374,0,"1,720,271","52,183",0,0,0,"31,552","31,552",0,0,600,0,"1,752,423"
